lat,lon,bairro
-22.255335,-45.714517,São João
-22.236664,-45.710131,Maristela
-22.248587,-45.705402,Anchieta
-22.260631,-45.719582,Eletrônica
-22.247923,-45.701375,Pedreira
-22.266489,-45.712331,Fernandes
-22.236374,-45.719156,São João
-22.244774,-45.696876,São Benedito
-22.240883,-45.703601,São Benedito
-22.255311,-45.696126,Novo Horizonte
-22.262768,-45.718275,Novo Horizonte
-22.265944,-45.694035,Por do Sol
-22.261853,-45.690622,Por do Sol
-22.245282,-45.692765,Anchieta
-22.261108,-45.691407,Por do Sol
-22.258842,-45.701291,Pedreira
-22.252565,-45.712079,Arco-Íris
-22.265076,-45.719882,Família Andrade
-22.232171,-45.706701,São Roque
-22.254102,-45.70861,Arco-Íris
-22.240626,-45.713277,São Roque
-22.247375,-45.710434,São João
-22.264314,-45.695128,Por do Sol
-22.258608,-45.703227,Arco-Íris
-22.249931,-45.699816,Anchieta
-22.245502,-45.703419,Anchieta
-22.22467,-45.718265,Juquita
-22.237679,-45.694644,São Benedito
-22.232474,-45.7148,Juquita
-22.235305,-45.720853,Juquita
-22.24223,-45.698802,Anchieta
-22.239653,-45.700475,Anchieta
-22.251486,-45.730471,Eletrônica
-22.264172,-45.689549,Pedreira
-22.255449,-45.716167,Arco-Íris
-22.246085,-45.71035,São Roque
-22.260181,-45.705767,Pedreira
-22.236619,-45.706679,Maristela
-22.262515,-45.68868,Ozório Machado
-22.275514,-45.717358,Família Andrade
-22.258467,-45.724215,Arco-Íris
-22.232446,-45.724554,Juquita
-22.280856,-45.685819,Por do Sol
-22.241502,-45.699568,São Benedito
-22.247421,-45.701753,Maristela
-22.2508,-45.705352,Fernandes
-22.257873,-45.695816,Pedreira
-22.245153,-45.713477,São Roque
-22.249649,-45.704766,São Benedito
-22.242472,-45.702749,São Benedito
-22.274926,-45.700246,Ozório Machado
-22.256256,-45.684827,Ozório Machado
-22.266864,-45.707391,Família Andrade
-22.234279,-45.717679,Juquita
-22.243368,-45.700173,Vista Alegre
-22.261911,-45.693136,Ozório Machado
-22.256506,-45.715843,Arco-Íris
-22.249706,-45.698632,Anchieta
-22.248476,-45.697218,Vista Alegre
-22.235921,-45.71617,Juquita
-22.230369,-45.72422,Juquita
-22.245825,-45.734111,Eletrônica
-22.273799,-45.709318,Família Andrade
-22.231523,-45.697046,Vista Alegre
-22.241005,-45.698781,Pedreira
-22.262013,-45.691963,Pedreira
-22.233819,-45.713251,Juquita
-22.247251,-45.701503,Pedreira
-22.227187,-45.712034,Juquita
-22.237973,-45.698245,Maristela
-22.266594,-45.698733,Fernandes
-22.261802,-45.69005,Por do Sol
-22.246157,-45.703808,Pedreira
-22.245612,-45.696217,São Roque
-22.263058,-45.716563,Novo Horizonte
-22.235758,-45.695624,Maristela
-22.264915,-45.722634,Arco-Íris
-22.262972,-45.698164,Por do Sol
-22.247301,-45.690893,Anchieta
-22.242424,-45.697268,Pedreira
-22.250255,-45.701598,Pedreira
-22.27421,-45.716996,Família Andrade
-22.274364,-45.698367,Por do Sol
-22.274317,-45.69411,Por do Sol
-22.286742,-45.684231,Fernandes
-22.260404,-45.703522,São João
-22.242505,-45.704665,São Benedito
-22.255843,-45.711934,Arco-Íris
-22.266348,-45.705496,Pedreira
-22.236323,-45.69733,Maristela
-22.263825,-45.706336,Novo Horizonte
-22.254496,-45.709116,São João
-22.250857,-45.716171,São João
-22.274776,-45.698486,Novo Horizonte
-22.251997,-45.72795,Arco-Íris
-22.239341,-45.718504,São Roque
-22.238599,-45.720652,Juquita
-22.255572,-45.72993,Eletrônica
-22.270673,-45.700185,Por do Sol
-22.23173,-45.706877,Maristela
-22.257925,-45.685572,Por do Sol
-22.25248,-45.724881,Arco-Íris
-22.267437,-45.707988,São João
-22.258921,-45.696106,Pedreira
-22.278924,-45.708405,Novo Horizonte
-22.261083,-45.689613,Pedreira
-22.239709,-45.697388,Maristela
-22.248735,-45.688398,Vista Alegre
-22.253222,-45.696868,São Benedito
-22.260536,-45.703526,Anchieta
-22.247305,-45.729527,Eletrônica
-22.265104,-45.692703,Ozório Machado
-22.249867,-45.719261,Juquita
-22.257101,-45.720851,Arco-Íris
-22.253056,-45.712932,Arco-Íris
-22.262013,-45.734403,Eletrônica
-22.275337,-45.72292,Fernandes
-22.239601,-45.696951,Vista Alegre
-22.25897,-45.685316,Ozório Machado
-22.228495,-45.692076,Vista Alegre
-22.246951,-45.720387,São Roque
-22.265142,-45.700758,Por do Sol
-22.253691,-45.694781,Pedreira
-22.260931,-45.691325,Por do Sol
-22.269437,-45.700737,Fernandes
-22.260388,-45.691078,Ozório Machado
-22.244702,-45.711089,São Roque
-22.255218,-45.713808,São João
-22.281933,-45.707924,Família Andrade
-22.231208,-45.72191,Juquita
-22.271682,-45.704292,Família Andrade
-22.241588,-45.717309,Juquita
-22.23572,-45.714245,Maristela
-22.226474,-45.707903,Juquita
-22.258931,-45.695773,Novo Horizonte
-22.254685,-45.709004,São João
-22.259735,-45.689337,Pedreira
-22.279249,-45.712285,Família Andrade
-22.237457,-45.720926,São Roque
-22.247762,-45.685986,Anchieta
-22.271542,-45.707745,Fernandes
-22.233798,-45.699395,Maristela
-22.233822,-45.730809,Juquita
-22.24552,-45.702357,São Roque
-22.23936,-45.683307,Anchieta
-22.23691,-45.712165,Juquita
-22.265917,-45.721232,Eletrônica
-22.263275,-45.702388,Fernandes
-22.268096,-45.697127,Por do Sol
-22.236534,-45.687257,Anchieta
-22.262952,-45.712503,Pedreira
-22.263676,-45.692072,Por do Sol
-22.250336,-45.701233,São João
-22.249862,-45.709832,São Roque
-22.258193,-45.718676,Arco-Íris
-22.258059,-45.730961,Eletrônica
-22.243177,-45.69088,Anchieta
-22.233705,-45.735189,Juquita
-22.23529,-45.700346,Vista Alegre
-22.259168,-45.728143,Eletrônica
-22.243595,-45.724519,Eletrônica
-22.257322,-45.729422,Eletrônica
-22.249434,-45.722092,Arco-Íris
-22.239018,-45.693475,Vista Alegre
-22.253268,-45.732037,São João
-22.252188,-45.726716,Eletrônica
-22.260382,-45.689368,Fernandes
-22.25109,-45.722398,Eletrônica
-22.262286,-45.711009,Família Andrade
-22.25044,-45.71843,São João
-22.250982,-45.712332,São Benedito
-22.257389,-45.715326,Pedreira
-22.259261,-45.687571,Pedreira
-22.254423,-45.725907,São João
-22.23517,-45.710347,Juquita
-22.255923,-45.687717,São Benedito
-22.266435,-45.705953,Fernandes
-22.241961,-45.727458,Eletrônica
-22.254097,-45.721281,São João
-22.237624,-45.7255,Eletrônica
-22.250355,-45.721241,Arco-Íris
-22.256821,-45.710524,Arco-Íris
-22.23184,-45.68639,Maristela
-22.258567,-45.697658,Pedreira
-22.256843,-45.688889,Ozório Machado
-22.233358,-45.718166,Juquita
-22.263627,-45.713347,Novo Horizonte
-22.256744,-45.691184,Ozório Machado
-22.238916,-45.682396,Anchieta
-22.258169,-45.704053,Novo Horizonte
-22.27293,-45.690499,Ozório Machado
-22.231683,-45.700577,Vista Alegre
-22.243891,-45.705148,São Roque
-22.256416,-45.704433,São Benedito
-22.241625,-45.688094,Maristela
-22.269799,-45.699756,Ozório Machado
-22.259944,-45.6903,Por do Sol
-22.257766,-45.695607,Pedreira
-22.262495,-45.683278,Ozório Machado
-22.248195,-45.704185,Vista Alegre
-22.242719,-45.704872,Pedreira
-22.245208,-45.687178,Anchieta
-22.262019,-45.704335,Novo Horizonte
-22.273811,-45.683643,Por do Sol
-22.252442,-45.693509,São Benedito
-22.235232,-45.698111,Maristela
-22.267328,-45.699089,Pedreira
-22.26704,-45.696175,Novo Horizonte
-22.26349,-45.710817,Por do Sol
-22.264332,-45.715119,Fernandes
-22.260987,-45.68876,Por do Sol
-22.264214,-45.713528,Arco-Íris
-22.272562,-45.714094,Fernandes
-22.244219,-45.690994,Vista Alegre
-22.241211,-45.718008,Juquita
-22.230863,-45.721902,Juquita
-22.25858,-45.725374,Arco-Íris
-22.248724,-45.689941,Maristela
-22.235202,-45.712613,Juquita
-22.259805,-45.690281,Anchieta
-22.253456,-45.691057,Ozório Machado
-22.236733,-45.699453,Anchieta
-22.251232,-45.722502,Arco-Íris
-22.242195,-45.708123,Maristela
-22.228479,-45.699086,Vista Alegre
-22.245728,-45.69851,Vista Alegre
-22.258277,-45.692798,São Benedito
-22.259457,-45.721799,Arco-Íris
-22.255629,-45.703925,Novo Horizonte
-22.251959,-45.699944,São Benedito
-22.260124,-45.697019,Fernandes
-22.231339,-45.727437,Juquita
-22.26823,-45.713174,São João
-22.263464,-45.685329,Por do Sol
-22.246596,-45.699201,Anchieta
-22.251627,-45.719796,Arco-Íris
-22.259345,-45.716715,Família Andrade
-22.232528,-45.712916,São Benedito
-22.264093,-45.706518,Por do Sol
-22.23755,-45.698896,São Benedito
-22.248175,-45.704283,Anchieta
-22.244285,-45.693289,Vista Alegre
-22.248524,-45.687173,Anchieta
-22.249459,-45.726896,Arco-Íris
-22.236448,-45.693671,Anchieta
-22.277844,-45.699323,Fernandes
-22.257638,-45.686681,Pedreira
-22.255934,-45.70374,Anchieta
-22.238931,-45.704225,Maristela
-22.250726,-45.730003,São João
-22.262351,-45.692145,Por do Sol
-22.264108,-45.691369,Fernandes
-22.246896,-45.705788,São Benedito
-22.261043,-45.700312,Pedreira
-22.238672,-45.719963,São Roque
-22.261073,-45.720435,Eletrônica
-22.25025,-45.687587,Anchieta
-22.253707,-45.683707,Ozório Machado
-22.245151,-45.709853,São Roque
-22.262135,-45.696206,Fernandes
-22.247439,-45.692215,Anchieta
-22.266146,-45.728821,Eletrônica
-22.264978,-45.708151,Fernandes
-22.250283,-45.71648,Arco-Íris
-22.248232,-45.711288,Vista Alegre
-22.248489,-45.715301,Maristela
-22.26194,-45.711482,Arco-Íris
-22.260938,-45.700646,Pedreira
-22.251357,-45.72025,Eletrônica
-22.260001,-45.69746,Ozório Machado
-22.27283,-45.714231,Família Andrade
-22.241719,-45.699616,Maristela
-22.262868,-45.689887,Por do Sol
-22.25109,-45.720489,São João
-22.257991,-45.701757,Por do Sol
-22.270447,-45.697463,Fernandes
-22.262865,-45.700446,Por do Sol
-22.239973,-45.695642,Vista Alegre
-22.23696,-45.700303,São Benedito
-22.248584,-45.68876,Anchieta
-22.233648,-45.706925,Maristela
-22.25356,-45.728078,Eletrônica
-22.249795,-45.726436,São João
-22.248041,-45.71351,São Benedito
-22.226876,-45.722778,Juquita
-22.252887,-45.704487,São Benedito
-22.236395,-45.70088,Maristela
-22.232553,-45.698497,Anchieta
-22.255279,-45.685056,Pedreira
-22.237867,-45.711468,Maristela
-22.274195,-45.700432,Fernandes
-22.266944,-45.716985,Novo Horizonte
-22.243155,-45.696325,Anchieta
-22.249174,-45.707127,São Roque
-22.250838,-45.714647,Maristela
-22.280365,-45.712079,Família Andrade
-22.272821,-45.712218,Família Andrade
-22.241367,-45.685136,Vista Alegre
-22.239851,-45.713864,São Roque
-22.272686,-45.699785,Fernandes
-22.267656,-45.694277,Novo Horizonte
-22.266099,-45.686682,Ozório Machado
-22.255062,-45.700431,Vista Alegre
-22.263371,-45.703689,Fernandes
-22.240761,-45.699499,São Benedito
-22.242233,-45.697337,Vista Alegre
-22.247135,-45.70864,São Benedito
-22.258921,-45.701639,São Roque
-22.26104,-45.717368,Arco-Íris
-22.24246,-45.726555,Eletrônica
-22.24822,-45.702365,São Benedito
-22.23613,-45.6983,Vista Alegre
-22.263502,-45.708305,Pedreira
-22.251299,-45.684772,Ozório Machado
-22.264685,-45.711598,Família Andrade
-22.261068,-45.711487,Arco-Íris
-22.250579,-45.708237,São Benedito
-22.28111,-45.698899,Fernandes
-22.260616,-45.700848,Novo Horizonte
-22.252031,-45.705757,Novo Horizonte
-22.269372,-45.717104,Família Andrade
-22.229037,-45.70532,Maristela
-22.251277,-45.705638,Pedreira
-22.269626,-45.700878,Fernandes
-22.25272,-45.720452,Eletrônica
-22.266364,-45.698497,Pedreira
-22.268486,-45.690771,Por do Sol
-22.243397,-45.708162,Vista Alegre
-22.257663,-45.727262,Arco-Íris
-22.254578,-45.703524,São Benedito
-22.274076,-45.706508,Fernandes
-22.244159,-45.704107,São Roque
-22.243793,-45.70574,São Roque
-22.253303,-45.713443,São João
-22.228832,-45.696902,Vista Alegre
-22.235687,-45.715222,Maristela
-22.253223,-45.714406,São João
-22.241373,-45.710326,Maristela
-22.270091,-45.716496,Família Andrade
-22.243402,-45.720734,Eletrônica
-22.271136,-45.694933,Por do Sol
-22.236816,-45.712458,Juquita
-22.253934,-45.715631,Eletrônica
-22.254547,-45.702215,Vista Alegre
-22.259944,-45.693468,Ozório Machado
-22.245379,-45.723544,Arco-Íris
-22.263696,-45.712332,Fernandes
-22.23626,-45.696071,Maristela
-22.258651,-45.692005,Fernandes
-22.275555,-45.699387,Fernandes
-22.266341,-45.693737,Ozório Machado
-22.256756,-45.714911,São João
-22.252599,-45.704573,Vista Alegre
-22.240415,-45.710062,São Benedito
-22.250071,-45.701963,São Benedito
-22.241958,-45.711828,Maristela
-22.265908,-45.715077,Família Andrade
-22.241743,-45.698505,Vista Alegre
-22.245879,-45.721919,Arco-Íris
-22.245786,-45.7005,Anchieta
-22.263186,-45.706724,Por do Sol
-22.232382,-45.700216,Maristela
-22.254793,-45.722587,Arco-Íris
-22.245682,-45.708963,Eletrônica
-22.261848,-45.687515,Ozório Machado
-22.250061,-45.702637,Anchieta
-22.262601,-45.710093,Família Andrade
-22.258053,-45.711181,Novo Horizonte
-22.248612,-45.717108,São João
-22.246665,-45.704428,São Benedito
-22.247753,-45.691873,Anchieta
-22.255921,-45.694123,Ozório Machado
-22.270145,-45.7079,Família Andrade
-22.240852,-45.702924,São João
-22.234781,-45.691876,Maristela
-22.239004,-45.701692,Maristela
-22.262645,-45.682762,Ozório Machado
-22.231056,-45.695787,Vista Alegre
-22.265708,-45.699136,Novo Horizonte
-22.236274,-45.715804,São Roque
-22.25155,-45.686087,Ozório Machado
-22.260988,-45.71356,Novo Horizonte
-22.230086,-45.707548,Juquita
-22.254572,-45.71781,Arco-Íris
-22.237972,-45.713572,São Roque
-22.2697,-45.71029,Novo Horizonte
-22.267462,-45.698884,Família Andrade
-22.253816,-45.730454,Arco-Íris
-22.245948,-45.726314,Eletrônica
-22.253721,-45.704854,Pedreira
-22.252003,-45.727479,Arco-Íris
-22.239077,-45.699177,Vista Alegre
-22.260884,-45.729381,Eletrônica
-22.263309,-45.705945,Novo Horizonte
-22.269884,-45.712382,Família Andrade
-22.24421,-45.700211,Maristela
-22.266458,-45.708828,Novo Horizonte
-22.252313,-45.714783,Arco-Íris
-22.255467,-45.71228,São João
-22.256573,-45.699387,Por do Sol
-22.244993,-45.703195,São Roque
-22.24647,-45.692545,Pedreira
-22.251056,-45.68832,Anchieta
-22.241449,-45.699554,Maristela
-22.255869,-45.692464,Fernandes
-22.26416,-45.686175,Anchieta
-22.239473,-45.712316,Juquita
-22.235605,-45.720036,Juquita
-22.283268,-45.71546,Família Andrade
-22.26259,-45.70132,Fernandes
-22.23811,-45.701118,São João
-22.260991,-45.690188,Fernandes
-22.236413,-45.70991,São João
-22.238191,-45.696555,Vista Alegre
-22.273208,-45.711493,Novo Horizonte
-22.261106,-45.712038,Pedreira
-22.244771,-45.693488,São Benedito
-22.240598,-45.702699,Vista Alegre
-22.251833,-45.6929,Vista Alegre
-22.252012,-45.722939,São Roque
-22.238382,-45.708988,São Roque
-22.267757,-45.731248,Arco-Íris
-22.2373,-45.710375,Maristela
-22.239376,-45.70654,São Roque
-22.259327,-45.724662,Arco-Íris
-22.258469,-45.701004,Por do Sol
-22.27625,-45.690055,Pedreira
-22.234456,-45.689969,Vista Alegre
-22.253087,-45.729523,Eletrônica
-22.254391,-45.707266,Por do Sol
-22.264407,-45.681261,Ozório Machado
-22.255762,-45.686364,Ozório Machado
-22.254916,-45.689373,Por do Sol
-22.256339,-45.708502,São Benedito
-22.270138,-45.70476,Família Andrade
-22.247089,-45.710934,São Roque
-22.260769,-45.724956,Arco-Íris
-22.264118,-45.710958,Família Andrade
-22.255057,-45.712518,Arco-Íris
-22.243764,-45.696249,Anchieta
-22.273621,-45.693196,Por do Sol
-22.263652,-45.683821,Por do Sol
-22.257124,-45.690361,Ozório Machado
-22.245153,-45.72185,São João
-22.248025,-45.682974,Anchieta
-22.236618,-45.720102,Eletrônica
-22.234411,-45.726286,Eletrônica
-22.260331,-45.696461,Por do Sol
-22.227893,-45.710293,Juquita
-22.239543,-45.71408,Juquita
-22.258074,-45.697032,Novo Horizonte
-22.263885,-45.70138,Por do Sol
-22.260153,-45.70735,Fernandes
-22.253297,-45.694232,Pedreira
-22.261293,-45.71017,Eletrônica
-22.256292,-45.724818,Eletrônica
-22.268236,-45.698023,Fernandes
-22.247179,-45.708365,São Benedito
-22.232481,-45.699876,Maristela
-22.256266,-45.692669,Ozório Machado
-22.257506,-45.724181,Eletrônica
-22.252956,-45.692763,Pedreira
-22.258672,-45.705932,São João
-22.23666,-45.712657,Juquita
-22.257472,-45.691357,Por do Sol
-22.2719,-45.705432,Fernandes
-22.250535,-45.711762,São João
-22.238964,-45.691237,Anchieta
-22.249956,-45.715023,São Roque
-22.260351,-45.692589,Ozório Machado
-22.257944,-45.710056,Arco-Íris
-22.254733,-45.701876,Novo Horizonte
-22.269784,-45.708644,Família Andrade
-22.247282,-45.700099,São João
-22.24773,-45.695617,Anchieta
-22.26148,-45.711151,São Benedito
-22.24777,-45.697412,São Benedito
-22.248312,-45.712552,São João
-22.24207,-45.697849,Vista Alegre
-22.251733,-45.712563,Eletrônica
-22.236869,-45.700858,Vista Alegre
-22.256925,-45.700902,Ozório Machado
-22.254058,-45.717062,Eletrônica
-22.256121,-45.695078,São Benedito
-22.255478,-45.720251,Arco-Íris
-22.239506,-45.715872,Arco-Íris
-22.261547,-45.695492,Ozório Machado
-22.250039,-45.677313,Ozório Machado
-22.267096,-45.711921,Arco-Íris
-22.260761,-45.720333,Arco-Íris
-22.251452,-45.696541,Maristela
-22.243419,-45.734578,Eletrônica
-22.26524,-45.71172,Novo Horizonte
-22.234424,-45.69309,Vista Alegre
-22.246443,-45.714503,São João
-22.264574,-45.698509,Ozório Machado
-22.247215,-45.701741,Anchieta
-22.254027,-45.709724,São João
-22.262164,-45.704816,Novo Horizonte
-22.259487,-45.703826,Ozório Machado
-22.24301,-45.721382,Eletrônica
-22.263165,-45.687804,Pedreira
-22.24783,-45.711976,São João
-22.245589,-45.714247,Eletrônica
-22.263197,-45.716113,Novo Horizonte
-22.247815,-45.706338,São João
-22.27578,-45.699627,Fernandes
-22.278335,-45.723046,Família Andrade
-22.256751,-45.6873,Fernandes
-22.246259,-45.707759,São Benedito
-22.238242,-45.716431,Juquita
-22.265103,-45.715748,São João
-22.239428,-45.703387,Anchieta
-22.241429,-45.702922,Pedreira
-22.246492,-45.737928,Eletrônica
-22.245838,-45.712327,Arco-Íris
-22.227537,-45.717286,Juquita
-22.278558,-45.70381,Fernandes
-22.261456,-45.685274,Por do Sol
-22.267705,-45.696134,Por do Sol
-22.26934,-45.708558,Família Andrade
-22.27158,-45.6938,Por do Sol
-22.23208,-45.732138,Juquita
-22.263642,-45.705273,Por do Sol
-22.239558,-45.709335,Maristela
-22.231321,-45.703401,Maristela
-22.257638,-45.672718,Ozório Machado
-22.266791,-45.694404,Pedreira
-22.252816,-45.725514,Arco-Íris
-22.257708,-45.70005,São João
-22.241736,-45.729065,Eletrônica
-22.269596,-45.700635,Novo Horizonte
-22.266213,-45.702603,São Benedito
-22.251902,-45.708167,São Roque
-22.249153,-45.707368,São Roque
-22.231023,-45.709412,Juquita
-22.271249,-45.714097,Família Andrade
-22.237353,-45.698096,Maristela
-22.245545,-45.729263,Eletrônica
-22.255679,-45.696705,Fernandes
-22.248043,-45.692139,Anchieta
-22.269804,-45.686114,Ozório Machado
-22.24178,-45.720141,São Roque
-22.242722,-45.694419,Novo Horizonte
-22.277734,-45.697576,Fernandes
-22.257197,-45.709327,Pedreira
-22.255337,-45.679384,Ozório Machado
-22.243362,-45.705047,São Benedito
-22.248277,-45.695726,Anchieta
-22.238283,-45.695132,Vista Alegre
-22.22721,-45.704084,Vista Alegre
-22.241061,-45.70328,São Benedito
-22.266714,-45.687046,Ozório Machado
-22.261047,-45.690406,Ozório Machado
-22.23596,-45.704872,Maristela
-22.243165,-45.700195,Pedreira
-22.246721,-45.713332,São Roque
-22.240279,-45.692909,Anchieta
-22.240396,-45.72076,Juquita
-22.276906,-45.707433,Família Andrade
-22.277466,-45.710499,Família Andrade
-22.244209,-45.703995,Vista Alegre
-22.273303,-45.712463,Família Andrade
-22.247867,-45.718445,São João
-22.265429,-45.688825,Pedreira
-22.238093,-45.726886,Eletrônica
-22.273235,-45.704499,Família Andrade
-22.24691,-45.713355,Juquita
-22.255457,-45.696119,Anchieta
-22.244978,-45.707037,Maristela
-22.259362,-45.70637,Novo Horizonte
-22.253702,-45.703695,São Benedito
-22.248204,-45.698274,Anchieta
-22.245131,-45.687579,Anchieta
-22.266695,-45.720592,São João
-22.24782,-45.721256,São Roque
-22.258077,-45.724384,Arco-Íris
-22.253055,-45.712872,São João
-22.276275,-45.691986,Fernandes
-22.248659,-45.694394,Vista Alegre
-22.256241,-45.709955,São Benedito
-22.262854,-45.698641,Por do Sol
-22.249126,-45.713571,Arco-Íris
-22.254866,-45.689495,Fernandes
-22.253185,-45.700382,Novo Horizonte
-22.273679,-45.697676,Por do Sol
-22.236003,-45.729915,Juquita
-22.25814,-45.70548,Novo Horizonte
-22.23484,-45.727648,Juquita
-22.244557,-45.699038,Novo Horizonte
-22.232756,-45.727075,Juquita
-22.243677,-45.700618,Vista Alegre
-22.261236,-45.693401,Pedreira
-22.263372,-45.706577,Fernandes
-22.240635,-45.704784,Vista Alegre
-22.244666,-45.722663,Eletrônica
-22.269843,-45.706835,Novo Horizonte
-22.239151,-45.719515,Juquita
-22.231396,-45.715446,Juquita
-22.255816,-45.707792,Pedreira
-22.239413,-45.710362,São Roque
-22.257868,-45.722189,São João
-22.223748,-45.694263,Maristela
-22.251298,-45.692671,Anchieta
-22.24963,-45.698835,São Roque
-22.225256,-45.713225,Juquita
-22.258836,-45.720648,Arco-Íris
-22.242332,-45.708767,Juquita
-22.261251,-45.687395,Ozório Machado
-22.25089,-45.694719,São Benedito
-22.240633,-45.704701,Anchieta
-22.253093,-45.706609,São Benedito
-22.236324,-45.703012,Vista Alegre
-22.253865,-45.732259,Eletrônica
-22.234506,-45.706189,Maristela
-22.257973,-45.695746,Por do Sol
-22.233623,-45.71509,Juquita
-22.255259,-45.692456,Ozório Machado
-22.258737,-45.72452,São João
-22.272829,-45.701693,Fernandes
-22.26652,-45.725429,Família Andrade
-22.26334,-45.697575,São Benedito
-22.266562,-45.706367,Por do Sol
-22.257023,-45.689093,Por do Sol
-22.262586,-45.701991,Fernandes
-22.251783,-45.687211,Ozório Machado
-22.265891,-45.710222,Novo Horizonte
-22.246113,-45.719564,Eletrônica
-22.240506,-45.69638,Vista Alegre
