lat,lon,bairro,situacao
-22.241859,-45.69673,Vista Alegre,apagado
-22.253353,-45.707357,Eletrônica,normal
-22.254386,-45.693329,Ozório Machado,normal
-22.244704,-45.701592,Vista Alegre,normal
-22.260307,-45.695802,Ozório Machado,apagado
-22.239313,-45.698473,Vista Alegre,normal
-22.264209,-45.702633,Fernandes,normal
-22.263792,-45.70563,Pedreira,normal
-22.254712,-45.692413,Pedreira,apagado
-22.249306,-45.701077,Vista Alegre,normal
-22.252463,-45.697744,Pedreira,piscando
-22.239804,-45.710407,Maristela,baixa_luminosidade
-22.260591,-45.712367,Arco-Íris,normal
-22.236561,-45.709381,Juquita,piscando
-22.261587,-45.694988,Ozório Machado,normal
-22.264644,-45.706526,Família Andrade,baixa_luminosidade
-22.247451,-45.7146,Eletrônica,normal
-22.239402,-45.702077,Vista Alegre,sem_sinal
-22.243168,-45.698343,Vista Alegre,piscando
-22.255761,-45.695677,Pedreira,normal
-22.246104,-45.694283,Anchieta,normal
-22.248768,-45.711971,Eletrônica,normal
-22.251399,-45.707193,São João,normal
-22.259769,-45.694959,Por do Sol,normal
-22.250531,-45.713715,Eletrônica,normal
-22.26288,-45.711696,Novo Horizonte,normal
-22.253811,-45.714793,Arco-Íris,baixa_luminosidade
-22.252318,-45.702283,Pedreira,baixa_luminosidade
-22.25552,-45.705072,São João,normal
-22.247768,-45.70076,Anchieta,normal
-22.24837,-45.694922,Anchieta,sem_sinal
-22.24263,-45.694969,Anchieta,normal
-22.258265,-45.693611,Ozório Machado,normal
-22.244642,-45.701289,Vista Alegre,normal
-22.240773,-45.712914,Maristela,piscando
-22.254964,-45.698875,Pedreira,normal
-22.267245,-45.707261,Família Andrade,piscando
-22.257982,-45.705494,Novo Horizonte,normal
-22.256439,-45.693035,Ozório Machado,apagado
-22.242823,-45.706042,Maristela,normal
-22.259767,-45.694432,Por do Sol,normal
-22.242106,-45.711071,São Roque,normal
-22.25831,-45.709865,Novo Horizonte,sem_sinal
-22.263968,-45.704129,Família Andrade,normal
-22.26155,-45.710381,Família Andrade,normal
-22.252714,-45.709202,Eletrônica,sem_sinal
-22.236303,-45.710892,Juquita,normal
-22.261951,-45.713745,Novo Horizonte,normal
-22.242233,-45.702549,Maristela,apagado
-22.244546,-45.696198,Anchieta,normal
-22.240202,-45.710238,São Roque,normal
-22.245004,-45.695062,Anchieta,normal
-22.262281,-45.706935,Família Andrade,normal
-22.261043,-45.704113,Fernandes,normal
-22.236118,-45.710033,Maristela,normal
-22.266345,-45.713466,Fernandes,normal
-22.249116,-45.706331,Eletrônica,normal
-22.242818,-45.716067,São Roque,normal
-22.24701,-45.695876,Vista Alegre,apagado
-22.262312,-45.709032,Novo Horizonte,normal
-22.251442,-45.716882,São João,normal
-22.250397,-45.711746,Eletrônica,baixa_luminosidade
-22.253445,-45.714729,Arco-Íris,normal
-22.260225,-45.693382,Ozório Machado,normal
-22.243608,-45.704817,São Roque,sem_sinal
-22.258318,-45.712174,Arco-Íris,normal
-22.256836,-45.690538,Ozório Machado,sem_sinal
-22.253854,-45.689436,Ozório Machado,normal
-22.26171,-45.703936,Família Andrade,normal
-22.236581,-45.71195,Juquita,piscando
-22.266506,-45.707634,Família Andrade,normal
-22.246492,-45.702117,São Benedito,apagado
-22.249761,-45.711019,Eletrônica,normal
-22.257602,-45.694651,Ozório Machado,normal
-22.261513,-45.694173,Família Andrade,normal
-22.252383,-45.71481,Arco-Íris,apagado
-22.247145,-45.69478,Anchieta,normal
-22.239741,-45.705158,Juquita,normal
-22.258644,-45.691347,Ozório Machado,normal
-22.238234,-45.712582,Juquita,baixa_luminosidade
-22.237669,-45.707677,Juquita,baixa_luminosidade
-22.260395,-45.714005,Arco-Íris,piscando
-22.254261,-45.696465,Ozório Machado,normal
-22.239588,-45.706085,Maristela,baixa_luminosidade
-22.250447,-45.702148,São Benedito,normal
-22.259878,-45.69783,Pedreira,normal
-22.261203,-45.714509,Novo Horizonte,piscando
-22.252367,-45.703548,São Benedito,piscando
-22.253162,-45.708779,Arco-Íris,normal
-22.242546,-45.694874,Vista Alegre,normal
-22.253454,-45.690707,Ozório Machado,normal
-22.2649,-45.702249,Pedreira,normal
-22.260049,-45.694425,Por do Sol,normal
-22.255482,-45.715663,Eletrônica,normal
-22.237711,-45.709357,Juquita,normal
-22.250636,-45.71413,Eletrônica,normal
-22.262888,-45.700782,Por do Sol,normal
-22.260634,-45.711672,Novo Horizonte,normal
-22.243337,-45.705938,Maristela,apagado
-22.242152,-45.71279,Juquita,apagado
-22.261186,-45.694156,Por do Sol,normal
-22.240099,-45.707937,São Roque,apagado
-22.241338,-45.702737,Maristela,normal
-22.263119,-45.700435,Por do Sol,normal
-22.243457,-45.696437,Vista Alegre,normal
-22.260249,-45.705014,Família Andrade,baixa_luminosidade
-22.250937,-45.701672,São Benedito,piscando
-22.264113,-45.695329,Por do Sol,normal
-22.24752,-45.716306,Eletrônica,normal
-22.256871,-45.710668,Arco-Íris,normal
-22.262082,-45.708897,Fernandes,normal
-22.239095,-45.700528,Maristela,normal
-22.258158,-45.697274,Pedreira,normal
-22.255623,-45.708943,São João,normal
-22.253701,-45.706403,São João,normal
-22.235526,-45.709243,Juquita,normal
-22.241774,-45.715342,São Roque,piscando
-22.250096,-45.701391,São Benedito,normal
-22.255959,-45.708177,Novo Horizonte,normal
-22.241888,-45.703288,Vista Alegre,normal
-22.263276,-45.694486,Por do Sol,normal
-22.248537,-45.698757,São Benedito,baixa_luminosidade
-22.258316,-45.70557,Fernandes,apagado
-22.255991,-45.711707,Eletrônica,apagado
-22.257385,-45.708271,São João,normal
-22.253595,-45.708949,Eletrônica,normal
-22.264724,-45.695957,Por do Sol,normal
-22.260672,-45.698845,Ozório Machado,normal
-22.246066,-45.710786,São Roque,normal
-22.248042,-45.696888,Vista Alegre,normal
-22.261379,-45.705592,Família Andrade,normal
-22.260783,-45.712169,Novo Horizonte,piscando
-22.250649,-45.705521,São João,normal
-22.241218,-45.714564,São Roque,normal
-22.261158,-45.699261,Ozório Machado,normal
-22.246361,-45.702965,São Benedito,normal
-22.261325,-45.696825,Por do Sol,normal
-22.239207,-45.703699,Maristela,baixa_luminosidade
-22.241861,-45.695928,Vista Alegre,normal
-22.243084,-45.705703,São Roque,piscando
-22.240365,-45.71361,Juquita,piscando
-22.264324,-45.699981,Por do Sol,piscando
-22.264223,-45.709415,Novo Horizonte,normal
-22.243157,-45.700969,Vista Alegre,normal
-22.237641,-45.707704,São Roque,normal
-22.236533,-45.703846,Juquita,baixa_luminosidade
-22.242577,-45.709234,São Roque,normal
-22.260091,-45.695804,Pedreira,normal
-22.262324,-45.695787,Pedreira,normal
-22.246205,-45.69779,Anchieta,normal
-22.239066,-45.696533,Maristela,normal
-22.259763,-45.711914,São João,normal
-22.251536,-45.707362,Eletrônica,normal
-22.260799,-45.699144,Pedreira,normal
-22.240516,-45.700442,São Benedito,normal
-22.240349,-45.713881,Juquita,normal
-22.267526,-45.708424,Família Andrade,normal
-22.252536,-45.711547,Eletrônica,normal
-22.261652,-45.704191,Fernandes,normal
-22.239987,-45.697292,Anchieta,normal
-22.241047,-45.701988,Vista Alegre,normal
-22.259681,-45.701127,Pedreira,apagado
-22.247833,-45.697722,Anchieta,normal
-22.265755,-45.708901,Novo Horizonte,normal
-22.247007,-45.700464,Anchieta,piscando
-22.256635,-45.701262,São João,normal
-22.236966,-45.71286,Juquita,normal
-22.261822,-45.708587,Fernandes,normal
-22.245108,-45.709333,Maristela,baixa_luminosidade
-22.244306,-45.694947,Anchieta,normal
-22.251021,-45.706466,São João,normal
-22.264295,-45.695721,Por do Sol,normal
-22.248809,-45.711583,São Roque,normal
-22.256049,-45.711054,Eletrônica,normal
-22.248161,-45.695766,Anchieta,normal
-22.238685,-45.710305,Juquita,normal
-22.257601,-45.702014,Pedreira,normal
-22.260098,-45.713689,Novo Horizonte,normal
-22.2561,-45.694993,Ozório Machado,normal
-22.251687,-45.706016,São Benedito,normal
-22.251473,-45.699861,São Benedito,normal
-22.255957,-45.693884,Novo Horizonte,normal
-22.260178,-45.699556,Pedreira,normal
-22.263018,-45.696124,Por do Sol,normal
-22.255549,-45.704214,Pedreira,normal
-22.251418,-45.71183,São João,piscando
-22.2347,-45.708889,Maristela,baixa_luminosidade
-22.24512,-45.715116,São Roque,apagado
-22.26316,-45.699868,Fernandes,piscando
-22.254516,-45.701304,Pedreira,baixa_luminosidade
-22.25045,-45.706965,São João,normal
-22.244887,-45.704205,São Benedito,normal
-22.253104,-45.709887,Arco-Íris,normal
-22.2598,-45.697509,Pedreira,normal
-22.248054,-45.697283,Anchieta,normal
-22.246957,-45.705232,São Roque,normal
-22.247548,-45.695749,Anchieta,apagado
-22.262557,-45.697008,Família Andrade,baixa_luminosidade
-22.25154,-45.707972,Eletrônica,normal
-22.261298,-45.708088,São João,normal
-22.25887,-45.69564,Ozório Machado,baixa_luminosidade
-22.257697,-45.698464,São Benedito,normal
-22.242783,-45.70865,São Benedito,normal
-22.248914,-45.705977,São Benedito,normal
-22.245684,-45.695522,Pedreira,apagado
-22.266217,-45.704502,Família Andrade,normal
-22.258133,-45.692822,Pedreira,normal
-22.26443,-45.699261,Pedreira,normal
-22.237481,-45.711491,São Roque,normal
-22.237218,-45.707047,Juquita,normal
-22.250447,-45.693545,Anchieta,normal
-22.256168,-45.705346,Novo Horizonte,normal
-22.253986,-45.7046,São Benedito,normal
-22.266091,-45.706456,Fernandes,normal
-22.24813,-45.706182,Eletrônica,apagado
-22.2487,-45.69824,Anchieta,normal
-22.245032,-45.700803,São Benedito,piscando
-22.24799,-45.711116,São João,normal
-22.266018,-45.701551,Por do Sol,normal
-22.246358,-45.70142,Vista Alegre,normal
-22.253078,-45.711926,Eletrônica,apagado
-22.239301,-45.709321,Juquita,normal
-22.252469,-45.698114,Anchieta,apagado
-22.242944,-45.704911,São Roque,apagado
-22.240819,-45.706546,Maristela,normal
-22.245318,-45.706287,São Benedito,apagado
-22.248763,-45.713848,Eletrônica,normal
-22.246768,-45.698007,Vista Alegre,normal
-22.246715,-45.711273,São Roque,piscando
-22.25182,-45.700306,São Benedito,apagado
-22.242198,-45.710456,Juquita,apagado
-22.247277,-45.701971,Anchieta,normal
-22.246851,-45.693429,Anchieta,normal
-22.251176,-45.715422,São Roque,normal
-22.241699,-45.701132,Anchieta,normal
-22.251545,-45.698186,Pedreira,piscando
-22.25028,-45.695503,Anchieta,baixa_luminosidade
-22.248353,-45.70348,São Benedito,normal
-22.25092,-45.711985,Eletrônica,normal
-22.244849,-45.698027,Vista Alegre,normal
-22.265419,-45.703482,Fernandes,normal
-22.247709,-45.708676,São João,normal
-22.253764,-45.694407,Ozório Machado,piscando
-22.255718,-45.701788,São Roque,piscando
-22.248236,-45.711274,São João,normal
-22.248966,-45.690277,Anchieta,normal
-22.264643,-45.696156,Por do Sol,normal
-22.261085,-45.705376,Fernandes,baixa_luminosidade
-22.25385,-45.70204,Pedreira,normal
-22.245002,-45.695321,Anchieta,normal
-22.245866,-45.701098,Anchieta,normal
-22.263672,-45.705874,Família Andrade,apagado
-22.241374,-45.710757,Juquita,apagado
-22.253112,-45.708503,Arco-Íris,normal
-22.244296,-45.710303,São Roque,normal
-22.253972,-45.693812,Ozório Machado,normal
-22.263867,-45.711184,Novo Horizonte,normal
-22.245626,-45.713762,São Benedito,normal
-22.258288,-45.690737,Ozório Machado,normal
-22.25596,-45.709502,Eletrônica,normal
-22.241087,-45.712479,Maristela,normal
-22.244763,-45.693905,Vista Alegre,normal
-22.251599,-45.711377,São João,normal
-22.247783,-45.707567,São Roque,normal
-22.246941,-45.707114,São Roque,normal
-22.253493,-45.706764,São João,normal
-22.243238,-45.708203,São Roque,normal
-22.256067,-45.712174,Arco-Íris,normal
-22.238074,-45.709762,Juquita,baixa_luminosidade
-22.259767,-45.710415,Novo Horizonte,normal
-22.244124,-45.697508,Anchieta,apagado
-22.249152,-45.712476,Eletrônica,piscando
-22.240568,-45.710666,Juquita,normal
-22.248279,-45.69913,Anchieta,normal
-22.252818,-45.705767,São João,piscando
-22.246531,-45.694647,São Benedito,apagado
-22.253382,-45.709804,Arco-Íris,normal
-22.262887,-45.703365,Família Andrade,piscando
-22.263098,-45.698422,Ozório Machado,normal
-22.260409,-45.701725,Por do Sol,normal
-22.257354,-45.715054,Arco-Íris,normal
-22.247968,-45.693192,Anchieta,normal
-22.247618,-45.705309,São Roque,normal
-22.240899,-45.7007,Maristela,baixa_luminosidade
-22.246731,-45.70265,Vista Alegre,apagado
-22.24554,-45.708468,São Roque,normal
-22.263644,-45.710754,Fernandes,normal
-22.248835,-45.70306,Eletrônica,normal
-22.245863,-45.710603,São Roque,apagado
-22.262725,-45.711265,Família Andrade,normal
-22.261778,-45.691797,Ozório Machado,baixa_luminosidade
-22.265556,-45.710321,Fernandes,normal
-22.262036,-45.703584,Fernandes,normal
-22.252658,-45.712067,Eletrônica,piscando
-22.258616,-45.706032,Novo Horizonte,piscando
-22.261532,-45.697348,Por do Sol,normal
-22.237983,-45.707165,Maristela,normal
-22.241614,-45.712537,São Roque,normal
-22.259888,-45.695644,Pedreira,normal
-22.25039,-45.711875,Eletrônica,normal
-22.264137,-45.699729,Fernandes,normal
-22.253318,-45.709202,São João,piscando
-22.26555,-45.709281,Família Andrade,normal
-22.249859,-45.704731,Eletrônica,normal
-22.251709,-45.701047,São Benedito,normal
-22.244187,-45.700852,São Benedito,normal
-22.26088,-45.691904,Ozório Machado,normal
-22.265226,-45.704456,Família Andrade,sem_sinal
-22.252571,-45.712314,São João,normal
-22.255929,-45.702903,Pedreira,piscando
-22.257792,-45.704452,São João,normal
-22.247745,-45.699368,Vista Alegre,normal
-22.257492,-45.695327,Ozório Machado,baixa_luminosidade
-22.248579,-45.713809,Eletrônica,normal
-22.262527,-45.710464,Fernandes,apagado
-22.247614,-45.711912,Eletrônica,baixa_luminosidade
-22.244754,-45.706593,São Benedito,normal
-22.244607,-45.70693,São Benedito,apagado
-22.243391,-45.701726,Maristela,normal
-22.24583,-45.697375,Anchieta,normal
-22.251647,-45.713459,Eletrônica,normal
-22.264456,-45.710524,Novo Horizonte,piscando
-22.262903,-45.705857,Pedreira,normal
-22.245336,-45.700314,São Benedito,normal
-22.247872,-45.711241,São Roque,normal
-22.251053,-45.700817,Vista Alegre,normal
-22.251963,-45.710112,Eletrônica,apagado
-22.253634,-45.704493,Novo Horizonte,apagado
-22.250928,-45.710117,São João,normal
-22.265828,-45.709266,Família Andrade,normal
-22.243614,-45.695935,Vista Alegre,normal
-22.262513,-45.707604,Novo Horizonte,normal
-22.26243,-45.701727,Novo Horizonte,normal
-22.264104,-45.706474,Novo Horizonte,normal
-22.267928,-45.713997,Novo Horizonte,normal
-22.254937,-45.711865,São João,normal
-22.259951,-45.712787,Novo Horizonte,normal
-22.246173,-45.69501,Vista Alegre,piscando
-22.245955,-45.696505,São Benedito,normal
-22.244287,-45.69917,Anchieta,piscando
-22.24461,-45.697999,Anchieta,normal
-22.236223,-45.704219,Maristela,normal
-22.263305,-45.712646,Fernandes,sem_sinal
-22.263792,-45.708795,Pedreira,apagado
-22.259403,-45.708912,Arco-Íris,normal
-22.237153,-45.713173,Juquita,apagado
-22.244952,-45.709816,São Roque,baixa_luminosidade
-22.257245,-45.707494,Arco-Íris,normal
-22.252134,-45.688536,Ozório Machado,normal
-22.260702,-45.707989,Fernandes,normal
-22.258061,-45.697683,Pedreira,normal
-22.256762,-45.710243,São João,normal
-22.245164,-45.696892,Vista Alegre,normal
-22.246227,-45.692387,Anchieta,normal
-22.252364,-45.703643,São Benedito,baixa_luminosidade
-22.255328,-45.71784,Arco-Íris,normal
-22.246352,-45.705638,Vista Alegre,normal
-22.24261,-45.709653,São Roque,piscando
-22.255778,-45.708419,Arco-Íris,baixa_luminosidade
-22.246819,-45.701148,Vista Alegre,normal
-22.243554,-45.701665,Vista Alegre,normal
-22.258602,-45.707407,Fernandes,normal
-22.260092,-45.713596,Arco-Íris,piscando
-22.241874,-45.714512,Juquita,normal
-22.241426,-45.698335,Anchieta,normal
-22.245909,-45.707041,Maristela,normal
-22.238196,-45.702771,São Roque,normal
-22.248807,-45.700228,Anchieta,normal
-22.259313,-45.6957,Ozório Machado,normal
-22.247732,-45.699936,São Benedito,normal
-22.253537,-45.705923,São João,normal
-22.252446,-45.708657,Novo Horizonte,normal
-22.249891,-45.710627,Eletrônica,normal
-22.235852,-45.708265,Juquita,normal
-22.249674,-45.715205,Eletrônica,normal
-22.237019,-45.710536,Juquita,piscando
-22.254765,-45.714824,Arco-Íris,normal
-22.241914,-45.702937,Maristela,normal
-22.245397,-45.696208,Vista Alegre,normal
-22.264632,-45.707547,Família Andrade,normal
-22.263993,-45.705925,Novo Horizonte,normal
-22.266361,-45.710659,Novo Horizonte,sem_sinal
-22.239946,-45.701454,São Benedito,normal
-22.254727,-45.713433,Novo Horizonte,normal
-22.236337,-45.700254,Maristela,piscando
-22.258506,-45.702178,Novo Horizonte,normal
-22.249789,-45.696876,São Benedito,normal
-22.248042,-45.712061,São Roque,piscando
-22.247185,-45.696073,Anchieta,normal
-22.264548,-45.711287,Novo Horizonte,normal
-22.259466,-45.709825,Arco-Íris,normal
-22.243257,-45.699124,São Benedito,normal
-22.252423,-45.70286,São Benedito,normal
-22.235905,-45.709619,Juquita,normal
-22.252896,-45.694017,Vista Alegre,apagado
-22.257913,-45.693915,Ozório Machado,normal
-22.255469,-45.690917,Pedreira,normal
-22.253032,-45.707368,São João,normal
-22.260732,-45.704539,Família Andrade,apagado
-22.262224,-45.701935,Família Andrade,normal
-22.264956,-45.703194,Família Andrade,normal
-22.261161,-45.699878,Por do Sol,baixa_luminosidade
-22.253082,-45.706843,São João,normal
-22.245515,-45.701357,Vista Alegre,normal
-22.247472,-45.697848,Anchieta,apagado
-22.238631,-45.711963,Juquita,normal
-22.257704,-45.695363,Ozório Machado,normal
-22.256271,-45.712535,São João,normal
-22.252032,-45.700664,Novo Horizonte,apagado
-22.262045,-45.692264,Por do Sol,normal
-22.237444,-45.707834,Maristela,normal
-22.235574,-45.705983,Maristela,normal
-22.258198,-45.697301,Pedreira,baixa_luminosidade
-22.235259,-45.701407,Maristela,normal
-22.256171,-45.708424,Novo Horizonte,normal
-22.23975,-45.698008,Vista Alegre,normal
-22.237888,-45.708074,Maristela,normal
-22.257351,-45.714268,Arco-Íris,piscando
-22.248024,-45.712687,Eletrônica,baixa_luminosidade
-22.266485,-45.703108,Família Andrade,baixa_luminosidade
-22.25322,-45.706093,Pedreira,baixa_luminosidade
-22.253872,-45.712422,Arco-Íris,piscando
-22.25131,-45.698324,Pedreira,normal
-22.237912,-45.707173,Maristela,normal
-22.256629,-45.698173,Pedreira,normal
-22.255446,-45.693952,Ozório Machado,normal
-22.243064,-45.710994,São Roque,piscando
-22.264902,-45.708655,Fernandes,normal
-22.2521,-45.709119,Arco-Íris,apagado
-22.264076,-45.69553,Por do Sol,normal
-22.239234,-45.71108,Juquita,piscando
-22.253793,-45.709052,Fernandes,normal
-22.25001,-45.707816,Novo Horizonte,baixa_luminosidade
-22.241001,-45.698636,Vista Alegre,normal
-22.25738,-45.692732,Ozório Machado,normal
-22.260216,-45.69462,Ozório Machado,normal
-22.23891,-45.700878,Maristela,piscando
-22.256229,-45.693307,Ozório Machado,normal
-22.241659,-45.701076,Vista Alegre,normal
-22.266548,-45.706569,Família Andrade,normal
-22.256024,-45.698957,Pedreira,piscando
-22.249321,-45.710511,Eletrônica,normal
-22.249477,-45.701426,São Benedito,apagado
-22.247596,-45.71405,São João,normal
-22.236263,-45.703266,Maristela,normal
-22.258022,-45.700448,Ozório Machado,normal
-22.260704,-45.707668,Novo Horizonte,piscando
-22.254832,-45.694568,Ozório Machado,normal
-22.243375,-45.70471,Vista Alegre,piscando
-22.245531,-45.693937,Vista Alegre,baixa_luminosidade
-22.240687,-45.705587,Maristela,normal
-22.263906,-45.69989,Por do Sol,apagado
-22.246648,-45.695998,Anchieta,apagado
-22.263642,-45.70712,Fernandes,normal
-22.259698,-45.703805,Novo Horizonte,normal
-22.253775,-45.711185,São Benedito,apagado
-22.258474,-45.715176,Arco-Íris,normal
-22.256787,-45.700238,Ozório Machado,normal
-22.245542,-45.701655,Anchieta,normal
-22.247872,-45.705014,São Benedito,normal
-22.257268,-45.698516,Por do Sol,normal
-22.256213,-45.70778,Novo Horizonte,apagado
-22.263565,-45.704383,Família Andrade,apagado
-22.248129,-45.699056,Vista Alegre,piscando
-22.261153,-45.711292,Arco-Íris,normal
-22.253696,-45.703067,São Benedito,normal
-22.241774,-45.697377,Anchieta,normal
-22.265915,-45.701311,Novo Horizonte,normal
-22.238002,-45.701462,Maristela,piscando
-22.263209,-45.712589,Novo Horizonte,normal
-22.25213,-45.700408,São Benedito,normal
-22.247883,-45.70316,Anchieta,normal
-22.262487,-45.699832,São João,baixa_luminosidade
